Race,Lap,Position,Overtaker,Overtakee,Live,Turn
Australia,2,16,Gasly,Giovinazzi,,3
Australia,4,19,Ricciardo,Kubica,,
Australia,15,16,Perez,Russell,,
Australia,18,9,Magnussen,Giovinazzi,Yes,14
Australia,19,10,Hulkenberg,Giovinazzi,Yes,1
Australia,19,11,Raikkonen,Giovinazzi,Yes,3
Australia,26,12,Norris,Giovinazzi,Yes,3
Australia,26,13,Grosjean,Giovinazzi,Yes,13
Australia,26,15,Perez,Albon,Replay,11
Australia,27,14,Perez,Giovinazzi,Yes,1
Australia,31,3,Verstappen,Vettel,Yes,3
Australia,38,10,Kvyat,Gasly,Yes,3
Bahrain,2,2,Leclerc,Bottas,Yes,1
Bahrain,2,3,Hamilton,Bottas,Yes,6
Bahrain,2,13,Norris,Albon,Background,1
Bahrain,2,15,Kvyat,Giovinazzi,,
Bahrain,3,17,Russell,Kubica,Yes,1
Bahrain,3,17,Kubica,Russell,,4
Bahrain,4,9,Hulkenberg,Perez,Yes,10
Bahrain,4,16,Russell,Kubica,,
Bahrain,6,1,Leclerc,Vettel,Yes,2
Bahrain,6,6,Ricciardo,Magnussen,,
Bahrain,6,7,Raikkonen,Magnussen,Replay,10
Bahrain,6,8,Hulkenberg,Magnussen,,
Bahrain,6,16,Kubica,Russell,,
Bahrain,7,9,Perez,Magnussen,,
Bahrain,7,11,Norris,Gasly,Background,4
Bahrain,9,9,Norris,Magnussen,Yes,4
Bahrain,11,10,Raikkonen,Kubica,,
Bahrain,11,11,Raikkonen,Russell,,
Bahrain,11,12,Perez,Russell,,
Bahrain,11,16,Gasly,Albon,Yes,1
Bahrain,11,16,Albon,Gasly,Yes,4
Bahrain,12,11,Perez,Kvyat,,
Bahrain,12,12,Norris,Russell,,
Bahrain,13,5,Verstappen,Bottas,,
Bahrain,13,6,Verstappen,Giovinazzi,,
Bahrain,13,11,Norris,Kvyat,,
Bahrain,14,5,Bottas,Verstappen,Yes,4
Bahrain,14,9,Hulkenberg,Perez,,
Bahrain,14,10,Norris,Perez,,
Bahrain,15,1,Leclerc,Ricciardo,Foreground,4
Bahrain,15,7,Raikkonen,Giovinazzi,,
Bahrain,15,15,Kvyat,Kubica,,
Bahrain,16,2,Hamilton,Ricciardo,Yes,1
Bahrain,16,3,Vettel,Ricciardo,Yes,11
Bahrain,16,8,Hulkenberg,Giovinazzi,,
Bahrain,17,11,Gasly,Magnussen,Yes,4
Bahrain,18,4,Bottas,Ricciardo,Yes,4
Bahrain,18,5,Verstappen,Ricciardo,,
Bahrain,18,12,Albon,Magnussen,,
Bahrain,21,7,Hulkenberg,Raikkonen,Yes,1
Bahrain,22,10,Gasly,Perez,,
Bahrain,22,16,Russell,Kubica,,
Bahrain,23,2,Vettel,Hamilton,Yes,4
Bahrain,26,7,Norris,Raikkonen,Yes,1
Bahrain,28,17,Stroll,Kubica,,
Bahrain,30,11,Ricciardo,Magnussen,Yes,1
Bahrain,31,18,Sainz,Kubica,Yes,1
Bahrain,33,6,Verstappen,Raikkonen,Yes,8
Bahrain,33,9,Ricciardo,Perez,,
Bahrain,33,12,Giovinazzi,Magnussen,,
Bahrain,34,12,Raikkonen,Kvyat,Yes,10
Bahrain,34,13,Albon,Kvyat,Yes,11
Bahrain,34,13,Albon,Raikkonen,Yes,2
Bahrain,34,13,Raikkonen,Albon,Yes,9
Bahrain,35,11,Raikkonen,Magnussen,,
Bahrain,36,10,Raikkonen,Giovinazzi,,
Bahrain,36,12,Albon,Magnussen,,
Bahrain,37,2,Vettel,Bottas,Yes,14
Bahrain,37,16,Stroll,Russell,,
Bahrain,38,2,Hamilton,Vettel,Yes,4
Bahrain,38,13,Kvyat,Magnussen,,
Bahrain,39,6,Hulkenberg,Ricciardo,Yes,1
Bahrain,40,11,Albon,Giovinazzi,,
Bahrain,41,6,Vettel,Ricciardo,Yes,11
Bahrain,41,7,Vettel,Norris,Yes,1
Bahrain,42,14,Kvyat,Magnussen,,
Bahrain,43,5,Vettel,Hulkenberg,Yes,1
Bahrain,43,18,Sainz,Kubica,,
Bahrain,44,7,Norris,Ricciardo,Yes,1
Bahrain,44,10,Gasly,Albon,,
Bahrain,45,8,Raikkonen,Ricciardo,Yes,1
Bahrain,49,17,Sainz,Russell,,
Bahrain,52,9,Gasly,Ricciardo,,
China,2,16,Kvyat,Kubica,Background,14
China,3,11,Raikkonen,Magnussen,Yes,14
China,3,15,Kvyat,Russell,Background,14
China,3,17,Albon,Kubica,,
China,4,10,Raikkonen,Grosjean,,
China,4,14,Kvyat,Giovinazzi,,
China,4,16,Albon,Russell,,
China,5,15,Albon,Giovinazzi,Yes,14
China,10,9,Raikkonen,Hulkenberg,Replay,14
China,13,13,Kvyat,Kubica,,
China,13,14,Grosjean,Kubica,,
China,13,15,Hulkenberg,Kubica,,
China,13,16,Magnussen,Kubica,,
China,14,17,Giovinazzi,Kubica,,
China,17,12,Kvyat,Russell,,
